Date,Close,Ticker
27-12-2024,209.127655,M
30-12-2024,205.2797699,M
31-12-2024,207.2771454,M
01-01-2025,209.6563873,M
02-01-2025,212.0258179,M
03-01-2025,203.6544495,M
06-01-2025,195.8999176,M
07-01-2025,201.5689392,M
08-01-2025,200.1100769,M
09-01-2025,195.106842,M
10-01-2025,198.0343628,M
13-01-2025,187.5970764,M
14-01-2025,195.3418121,M
15-01-2025,191.1316681,M
16-01-2025,194.4802094,M
17-01-2025,201.2458344,M
20-01-2025,206.1511688,M
21-01-2025,201.6276855,M
22-01-2025,199.1897125,M
23-01-2025,201.500412,M
24-01-2025,198.9547272,M
27-01-2025,193.3346558,M
28-01-2025,185.5703278,M
29-01-2025,189.7413177,M
30-01-2025,189.0951233,M
31-01-2025,198.0147858,M
01-02-2025,193.755661,M
03-02-2025,185.5703278,M
04-02-2025,191.7876587,M
05-02-2025,195.469101,M
06-02-2025,192.7667694,M
07-02-2025,196.3013458,M
10-02-2025,187.0585632,M
11-02-2025,179.4802704,M
12-02-2025,185.7171783,M
13-02-2025,187.4600067,M
14-02-2025,181.6300049,M
17-02-2025,180.7400055,M
18-02-2025,179.5700073,M
19-02-2025,187.0800018,M
20-02-2025,193.0899963,M
21-02-2025,201.0099945,M
24-02-2025,189.5299988,M
25-02-2025,180.7899933,M
27-02-2025,179.3600006,M
28-02-2025,177.6000061,M
03-03-2025,179.3899994,M
04-03-2025,179.0800018,M
05-03-2025,189.2899933,M
06-03-2025,192.7899933,M
07-03-2025,195.1699982,M
10-03-2025,188.1199951,M
11-03-2025,189.7100067,M
12-03-2025,191.5399933,M
13-03-2025,187.8699951,M
17-03-2025,185.0299988,M
18-03-2025,185.0299988,M
19-03-2025,186.3800049,M
20-03-2025,190.5700073,M
21-03-2025,185.5200043,M
24-03-2025,187.0399933,M
25-03-2025,180.6600037,M
26-03-2025,179.2400055,M
27-03-2025,178.8099976,M
28-03-2025,175.5299988,M
01-04-2025,175.2899933,M
02-04-2025,174.2100067,M
03-04-2025,172.6600037,M
04-04-2025,157.6999969,M
07-04-2025,144.6900024,M
08-04-2025,146.6199951,M
09-04-2025,143.4499969,M
11-04-2025,143.2200012,M
15-04-2025,151.4199982,M
16-04-2025,151.2200012,M
17-04-2025,152.8899994,M
21-04-2025,161.4100037,M
22-04-2025,158.7899933,M
23-04-2025,162.0700073,M
24-04-2025,162.0299988,M
25-04-2025,156.5,M
28-04-2025,159.8699951,M
29-04-2025,157.6000061,M
30-04-2025,156.4700012,M
02-05-2025,159.1000061,M
05-05-2025,160.8600006,M
06-05-2025,154.8800049,M
07-05-2025,158.2799988,M
08-05-2025,154.1199951,M
09-05-2025,156.8399963,M
12-05-2025,168.9499969,M
13-05-2025,165.0399933,M
14-05-2025,173.1600037,M
15-05-2025,178.5599976,M
16-05-2025,177.1900024,M
19-05-2025,181.9299927,M
20-05-2025,179.0700073,M
21-05-2025,181.75,M
22-05-2025,184.9499969,M
23-05-2025,183.8399963,M
26-05-2025,183.5399933,M
27-05-2025,181.9499969,M
28-05-2025,183.2700043,M
29-05-2025,183.6199951,M
30-05-2025,180.3500061,M
02-06-2025,180.7700043,M
03-06-2025,182.1000061,M
04-06-2025,182.7200012,M
05-06-2025,182.3999939,M
06-06-2025,188.4700012,M
09-06-2025,187.2400055,M
10-06-2025,191.6999969,M
11-06-2025,190.0099945,M
12-06-2025,187.0599976,M
13-06-2025,185.6799927,M
16-06-2025,188.0299988,M
17-06-2025,185.1699982,M
18-06-2025,186.1900024,M
19-06-2025,181.9299927,M
20-06-2025,183.9900055,M
23-06-2025,188.2799988,M
24-06-2025,189.75,M
25-06-2025,187.9400024,M
26-06-2025,193.5899963,M
27-06-2025,190.8300018,M
30-06-2025,192.6999969,M
01-07-2025,190.2700043,M
02-07-2025,192.4100037,M
03-07-2025,192.25,M
04-07-2025,192.0899963,M
07-07-2025,188.5599976,M
08-07-2025,189.9100037,M
09-07-2025,186.2299957,M
10-07-2025,188.9499969,M
11-07-2025,189.5,M
14-07-2025,189.4700012,M
15-07-2025,190.4799957,M
16-07-2025,188.0200043,M
17-07-2025,189.1199951,M
18-07-2025,188.0200043,M
21-07-2025,194.9900055,M
22-07-2025,196.6900024,M
23-07-2025,198.0899963,M
24-07-2025,198.8999939,M
25-07-2025,193.6600037,M
28-07-2025,187.6999969,M
29-07-2025,189.6799927,M
30-07-2025,187.1300049,M
31-07-2025,185.0599976,M
01-08-2025,180.6999969,M
04-08-2025,187.1399994,M
05-08-2025,187.2599945,M
06-08-2025,188.6300049,M
07-08-2025,189.7599945,M
08-08-2025,187.4100037,M
11-08-2025,187.0700073,M
12-08-2025,186.5200043,M
13-08-2025,189.9400024,M
14-08-2025,187.5800018,M
18-08-2025,188.3300018,M
19-08-2025,191.3099976,M
20-08-2025,192.2200012,M
21-08-2025,191.4700012,M
22-08-2025,188.8699951,M
25-08-2025,190.4100037,M
26-08-2025,186.0200043,M
31-08-2020,381.6521912,N
01-09-2020,378.1219788,N
02-09-2020,379.5244141,N
03-09-2020,370.19104,N
04-09-2020,360.3257446,N
07-09-2020,361.1478271,N
08-09-2020,363.3723755,N
09-09-2020,355.538147,N
10-09-2020,358.536438,N
11-09-2020,358.3429871,N
14-09-2020,351.7661133,N
15-09-2020,359.35849,N
16-09-2020,362.4052124,N
17-09-2020,356.8922424,N
18-09-2020,357.4241333,N
21-09-2020,339.192688,N
22-09-2020,342.7712402,N
23-09-2020,340.3049316,N
24-09-2020,324.6848755,N
25-09-2020,337.2099304,N
28-09-2020,351.0890808,N
29-09-2020,345.3343201,N
30-09-2020,343.1097717,N
01-10-2020,357.0856628,N
05-10-2020,360.857666,N
06-10-2020,368.1115417,N
07-10-2020,370.0942993,N
08-10-2020,374.7851868,N
09-10-2020,388.3257751,N
12-10-2020,390.7921143,N
13-10-2020,383.2480774,N
14-10-2020,393.4518738,N
15-10-2020,378.1703186,N
16-10-2020,383.1029968,N
19-10-2020,403.4139709,N
20-10-2020,400.9959717,N
21-10-2020,406.5089417,N
22-10-2020,399.3517456,N
23-10-2020,403.2689209,N
26-10-2020,391.1790161,N
27-10-2020,396.4985657,N
28-10-2020,383.054657,N
29-10-2020,386.7782898,N
30-10-2020,379.7178345,N
02-11-2020,403.7524719,N
03-11-2020,429.2862244,N
04-11-2020,422.7093506,N
05-11-2020,424.1117859,N
06-11-2020,428.2706604,N
09-11-2020,447.5177002,N
10-11-2020,467.9737244,N
11-11-2020,470.585083,N
12-11-2020,461.0583496,N
13-11-2020,469.6178894,N
14-11-2020,470.9236145,N
17-11-2020,470.4400024,N
18-11-2020,481.3208923,N
19-11-2020,463.0410461,N
20-11-2020,464.4434814,N
23-11-2020,452.8855591,N
24-11-2020,462.5090637,N
25-11-2020,457.1895752,N
26-11-2020,459.7042542,N
27-11-2020,457.8182678,N
01-12-2020,469.1827087,N
02-12-2020,464.6852722,N
03-12-2020,466.0393372,N
04-12-2020,485.5765076,N
07-12-2020,493.7009277,N
08-12-2020,491.7181702,N
09-12-2020,494.7164612,N
10-12-2020,490.3157349,N
11-12-2020,498.5368347,N
14-12-2020,508.5472412,N
15-12-2020,501.0514832,N
16-12-2020,495.6352844,N
